 TaskID ,TaskName,TaskDescription,Date,EstimatedHours,ActualHours,Completed,Priority,TeamLeader,AmountPLN
1,Human Resources,Submit task C,11/22/2005,12,12,false,medium,Gratiana Micco,3204
2,Training,Submit task C,9/15/2008,11,13,false,normal,Silvano Arnli,1444
3,Support,Complete task A,11/9/2000,44,8,true,high,Janith Cosgrive,926
4,Business Development,Submit task C,7/1/2017,33,7,true,medium,Katheryn Castanho,2310
5,Support,Update task D,1/7/2012,10,11,false,urgent,Orelie Lisciardelli,1840
6,Business Development,Review task B,12/13/2006,37,5,true,moderate,Teriann Grinston,2830
7,Product Management,Assign task E,8/8/2010,50,10,false,maximum,Timmi Worman,3149
8,Business Development,Submit task C,10/11/2002,8,7,false,maximum,Elisha Fallen,622
9,Training,Update task D,2/13/2016,37,16,false,critical,Emeline Gainsford,2845
10,Business Development,Assign task E,10/10/2001,44,14,false,essential,Alonso Stride,2367
11,Engineering,Assign task E,9/15/2010,39,16,true,urgent,Lorrie Mattack,1494
12,Services,Submit task C,2/13/2011,46,15,true,maximum,Kathye Shopcott,1507
13,Business Development,Complete task A,2/26/2009,16,5,false,essential,Care Moodey,3828
14,Services,Update task D,2/2/2005,17,16,false,medium,Devy Caslake,2648
15,Marketing,Complete task A,2/13/2016,31,11,false,high,Milton Doig,3423
16,Support,Update task D,2/24/2020,36,16,true,normal,Burty Lichfield,3643
17,Business Development,Submit task C,9/19/2022,10,10,true,low,Octavia Ferryman,2832
18,Support,Complete task A,11/15/2003,15,5,false,essential,Noelani Kydde,3249
19,Human Resources,Update task D,7/28/2012,33,13,false,normal,Nanice Hadcock,3329
20,Training,Update task D,1/26/2007,29,9,true,maximum,David Paulack,2807
21,Human Resources,Submit task C,5/17/2015,8,17,true,critical,Fanny Frushard,1449
22,Human Resources,Complete task A,6/2/2006,21,5,false,essential,Freeman Lapidus,2327
23,Services,Complete task A,12/20/2001,19,9,false,moderate,Sterling Rubinsohn,2533
24,Training,Review task B,3/31/2013,8,9,false,high,Willamina Stares,1433
25,Engineering,Submit task C,12/12/2001,39,14,true,urgent,Betteanne Kewzick,1772
26,Training,Submit task C,4/7/2018,18,17,false,urgent,Carena Schober,3158
27,Services,Submit task C,12/23/2001,39,13,false,high,Irving Spellicy,1454
28,Human Resources,Submit task C,12/31/2011,20,7,false,normal,Dunc Andreone,2968
29,Support,Complete task A,9/13/2020,22,16,true,normal,Rancell Santhouse,3046
30,Support,Update task D,5/18/2019,35,7,true,normal,Field Croy,2972
31,Accounting,Review task B,2/15/2000,15,16,true,minimal,Janey Hegarty,1058
32,Services,Assign task E,3/3/2005,49,9,true,moderate,Vanni Benedit,2272
33,Support,Complete task A,6/6/2009,30,8,true,medium,Gordie Steeden,3459
34,Product Management,Submit task C,10/5/2020,21,6,true,essential,Chevy Cumesky,1258
35,Engineering,Assign task E,9/11/2020,32,9,true,medium,Duane Drinnan,2994
36,Accounting,Update task D,4/3/2022,48,12,true,minimal,Maybelle Gavrieli,3474
37,Engineering,Submit task C,12/6/2009,21,6,false,moderate,Sylvester Scherme,1684
38,Support,Complete task A,11/4/2002,37,5,true,minimal,Karl Binnall,1731
39,Legal,Submit task C,4/28/2019,16,10,false,critical,Pen Dunphy,2767
40,Product Management,Complete task A,12/23/2017,44,12,false,moderate,Meryl Law,3783
41,Training,Assign task E,8/8/2018,8,7,true,normal,Fidela Reglar,1073
42,Accounting,Complete task A,8/24/2000,28,7,true,moderate,Silvano Smellie,2213
43,Legal,Update task D,4/4/2000,40,12,true,urgent,Gena Burges,1957
44,Accounting,Complete task A,5/1/2008,34,14,true,medium,Sabra Bembridge,3829
45,Training,Review task B,7/17/2010,38,5,true,low,Bel Redsell,1024
46,Training,Assign task E,3/27/2021,18,14,true,critical,Miof mela Gronaver,3574
47,Marketing,Complete task A,3/14/2015,28,15,false,normal,Marion Francescotti,2285
48,Sales,Update task D,11/5/2005,9,8,false,medium,Merrill Van Leeuwen,2002
49,Services,Review task B,7/8/2019,10,11,false,high,Tonya Backen,3350
50,Services,Review task B,7/8/2014,40,14,false,medium,Bernadene Mityukov,1842
51,Product Management,Assign task E,9/13/2018,24,15,true,minimal,Adorne Viscovi,3596
52,Accounting,Complete task A,10/31/2020,13,8,true,minimal,Hailee Bozward,3831
53,Engineering,Update task D,5/13/2016,47,8,true,minimal,Jilleen Waggett,3522
54,Services,Update task D,12/10/2003,14,6,true,urgent,Harmonia Skeemer,818
55,Accounting,Assign task E,4/19/2019,37,7,true,low,Ernestine De Miranda,1492
56,Services,Review task B,6/20/2004,43,9,false,critical,Frans Senyard,2521
57,Research and Development,Submit task C,8/13/2021,28,14,false,maximum,Callie Zecchi,3745
58,Legal,Update task D,10/9/2002,43,11,true,low,Crystie Beckwith,2708
59,Product Management,Update task D,4/6/2022,47,6,true,high,Ike Horney,2401
60,Human Resources,Update task D,8/13/2004,14,17,true,high,Bonnie Oldknow,3476
61,Product Management,Review task B,12/27/2006,29,13,false,medium,Bertina Blackhall,812
62,Sales,Update task D,5/23/2005,50,16,false,essential,Ciro Von Welldun,950
63,Services,Update task D,6/6/2005,42,13,false,maximum,Ebonee Heeran,3155
64,Engineering,Update task D,3/12/2001,13,15,true,moderate,Kristopher McEllen,3664
65,Services,Review task B,12/6/2004,32,17,false,maximum,Reamonn Jellico,707
66,Sales,Update task D,9/28/2004,20,14,true,essential,Sibilla Grimolbie,918
67,Engineering,Submit task C,11/28/2014,42,11,true,low,Erinn Joysey,2110
68,Training,Assign task E,4/3/2019,13,14,true,essential,Gustave Romagosa,1255
69,Research and Development,Update task D,8/4/2022,39,11,false,essential,Margaretta Navan,3021
70,Engineering,Update task D,9/13/2011,28,10,true,moderate,Ellene Oguz,2066
71,Sales,Complete task A,8/30/2010,35,14,true,normal,Gerry Rois,2068
72,Business Development,Submit task C,12/29/2008,20,13,false,moderate,Martie Frankcom,802
73,Business Development,Review task B,1/23/2021,38,7,true,normal,Mario Oughton,2223
